reactiveSite,EC1,EC2,EC3,EC4,EC5,EC6
17|17|18|18|26|26|29|29|29|29|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|29|29|29|42|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|29|29|29|43|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|29|29|29|44|44|67|,1,0,0,0,0,0
17|17|18|18|26|26|29|29|42|42|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|29|29|42|43|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|29|29|42|44|44|67|,1,0,0,0,0,0
17|17|18|18|26|26|29|29|43|43|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|29|29|43|44|44|67|,1,0,0,0,0,0
17|17|18|18|26|26|29|29|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|29|29|44|44|67|67|,1,0,0,0,0,0
17|17|18|18|26|26|29|42|42|42|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|29|42|42|43|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|29|42|42|44|44|67|,1,0,0,0,0,0
17|17|18|18|26|26|29|42|43|43|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|29|42|43|44|44|67|,1,0,0,0,0,0
17|17|18|18|26|26|29|42|44|44|67|67|,1,0,0,0,0,0
17|17|18|18|26|26|29|43|43|43|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|29|43|43|44|44|67|,1,0,0,0,0,0
17|17|18|18|26|26|29|43|44|44|67|67|,1,0,0,0,0,0
17|17|18|18|26|26|29|44|44|67|67|67|,1,0,0,0,0,0
17|17|18|18|26|26|42|42|42|42|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|42|42|42|43|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|42|42|42|44|44|67|,1,0,0,0,0,0
17|17|18|18|26|26|42|42|43|43|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|42|42|43|44|44|67|,1,0,0,0,0,0
17|17|18|18|26|26|42|42|44|44|67|67|,1,0,0,0,0,0
17|17|18|18|26|26|42|43|43|43|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|42|43|43|44|44|67|,1,0,0,0,0,0
17|17|18|18|26|26|42|43|44|44|67|67|,1,0,0,0,0,0
17|17|18|18|26|26|42|44|44|67|67|67|,1,0,0,0,0,0
17|17|18|18|26|26|43|43|43|43|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|43|43|43|44|44|67|,1,0,0,0,0,0
17|17|18|18|26|26|43|43|44|44|67|67|,1,0,0,0,0,0
17|17|18|18|26|26|43|44|44|67|67|67|,1,0,0,0,0,0
17|17|18|18|26|26|44|44|67|67|67|67|,1,0,0,0,0,0
17|17|18|18|26|27|28|29|44|,0,0,0,1,0,0
17|17|18|18|26|27|28|44|,0,0,0,0,1,0
17|17|18|18|26|28|29|29|31|39|44|,0,0,0,1,0,0
17|17|18|18|26|28|29|29|44|,0,0,0,1,0,0
17|17|18|18|26|28|29|31|39|44|52|,0,0,0,1,0,0
17|17|18|18|26|28|29|31|39|44|72|,0,0,0,1,0,0
17|17|18|18|27|28|,1,0,0,0,0,0
17|17|18|18|28|,1,0,0,0,0,0
17|17|18|18|28|28|29|29|8|,0,1,0,0,0,0
17|17|18|18|28|28|29|3|8|,0,1,0,0,0,0
17|17|18|18|28|28|29|44|8|,0,1,0,0,0,0
17|17|18|18|29|44|,0,0,0,1,0,0
17|17|18|18|44|,0,0,0,0,1,0
17|17|18|18|44|44|,1,0,0,0,0,0
17|17|18|19|19|19|19|19|20|20|22|25|25|25|3|44|,0,0,0,0,1,0
17|17|18|19|19|20|25|25|26|27|,0,1,0,0,0,0
17|17|18|19|19|20|25|25|26|27|27|29|41|41|,0,1,0,0,0,0
17|17|18|19|19|29|29|44|,0,0,0,1,0,0
