EC1,EC2,EC3,EC4,EC5,EC6
18;18;26;26;28;38;44;,19;19;27;29;44;,17;25;26;28;29;39;44;44;44;,19;19;20;29;44;,,
18;18;26;26;28;44;7;,19;19;29;31;44;,17;25;26;28;29;3;39;44;44;,19;19;24;29;44;,,
18;26;26;26;28;38;44;,19;19;29;44;61;,17;25;26;28;29;3;3;39;44;,19;19;26;29;44;,,
18;26;26;26;28;44;7;,17;17;27;29;41;41;44;61;,18;19;19;28;29;39;44;44;44;,19;20;20;29;44;,,
17;29;3;44;,17;18;27;29;41;41;44;61;,18;19;19;28;29;3;39;44;44;,19;20;24;29;44;,,
18;29;3;44;,17;19;27;29;41;41;44;61;,18;19;19;28;29;3;3;39;44;,19;20;26;29;44;,,
18;29;44;44;,18;19;27;29;41;41;44;61;,18;19;25;28;29;39;44;44;44;,19;24;24;29;44;,,
19;29;3;44;,19;19;27;29;41;41;44;61;,18;19;25;28;29;3;39;44;44;,19;24;26;29;44;,,
20;29;3;44;,27;29;37;44;7;,18;19;25;28;29;3;3;39;44;,19;26;26;29;44;,,
20;29;44;44;,27;29;3;44;7;,19;19;26;28;29;39;44;44;44;,20;20;20;29;44;,,
29;31;44;44;,27;29;44;46;7;,19;19;26;28;29;3;39;44;44;,20;20;24;29;44;,,
29;34;44;44;,29;31;37;44;7;,19;19;26;28;29;3;3;39;44;,20;20;26;29;44;,,
29;3;31;44;,29;31;44;46;7;,19;25;26;28;29;39;44;44;44;,20;24;24;29;44;,,
29;3;34;44;,29;37;44;7;8;,19;25;26;28;29;3;39;44;44;,20;24;26;29;44;,,
17;3;44;,29;3;31;44;7;,19;25;26;28;29;3;3;39;44;,20;26;26;29;44;,,
17;44;44;,29;3;44;7;8;,17;17;18;28;39;44;44;,24;24;26;29;44;,,
19;3;44;,29;44;46;7;8;,17;17;18;28;3;39;44;,24;26;26;29;44;,,
19;44;44;,11;37;44;,17;17;18;28;3;3;39;,26;26;26;29;44;,,
25;3;44;,29;37;44;,17;17;26;28;39;44;44;,18;18;18;19;28;44;,,
25;44;44;,37;39;44;,17;17;26;28;3;39;44;,18;18;18;25;28;44;,,
26;3;44;,17;17;18;18;28;28;29;29;8;,17;17;26;28;3;3;39;,18;18;19;26;28;44;,,
26;44;44;,17;17;18;18;28;28;29;3;8;,17;18;19;28;39;44;44;,18;18;19;28;29;44;,,
31;44;44;,17;17;18;18;28;28;29;44;8;,17;18;19;28;3;39;44;,18;18;19;28;44;8;,,
39;44;44;,17;18;18;18;28;28;29;29;8;,17;18;19;28;3;3;39;,18;18;25;26;28;44;,,
3;31;44;,17;18;18;18;28;28;29;3;8;,17;18;20;28;39;44;44;,18;18;25;28;29;44;,,
3;39;44;,17;18;18;18;28;28;29;44;8;,17;18;20;28;3;39;44;,18;18;25;28;44;8;,,
19;29;35;,17;18;18;19;28;28;29;29;8;,17;18;20;28;3;3;39;,18;19;26;28;29;44;,,
25;29;35;,17;18;18;19;28;28;29;3;8;,17;19;26;28;39;44;44;,18;19;26;28;44;8;,,
19;5;,17;18;18;19;28;28;29;44;8;,17;19;26;28;3;39;44;,18;25;26;28;29;44;,,
25;5;,17;18;18;25;28;28;29;29;8;,17;19;26;28;3;3;39;,18;25;26;28;44;8;,,
18;18;18;18;29;29;44;44;44;62;,17;18;18;25;28;28;29;3;8;,17;20;26;28;39;44;44;,17;17;18;18;29;44;,,
18;18;18;18;29;29;44;44;44;66;,17;18;18;25;28;28;29;44;8;,17;20;26;28;3;39;44;,17;17;18;29;29;44;,,
18;18;18;26;29;29;44;44;44;62;,17;18;18;26;28;28;29;29;8;,17;20;26;28;3;3;39;,17;17;18;29;44;8;,,
18;18;18;26;29;29;44;44;44;66;,17;18;18;26;28;28;29;3;8;,18;19;19;28;39;44;44;,17;18;18;19;29;44;,,
18;18;26;26;29;29;44;44;44;62;,17;18;18;26;28;28;29;44;8;,18;19;19;28;3;39;44;,17;18;18;20;29;44;,,
18;18;26;26;29;29;44;44;44;66;,17;18;18;28;28;29;29;44;8;,18;19;19;28;3;3;39;,17;18;19;29;29;44;,,
18;18;18;26;39;44;,17;18;18;28;28;29;29;46;8;,18;19;20;28;39;44;44;,17;18;19;29;44;8;,,
18;18;18;26;43;44;,17;18;18;28;28;29;3;44;8;,18;19;20;28;3;39;44;,17;18;20;29;29;44;,,
18;18;26;26;39;44;,17;18;18;28;28;29;3;46;8;,18;19;20;28;3;3;39;,17;18;20;29;44;8;,,
18;18;26;26;43;44;,17;18;18;28;28;29;44;44;8;,19;19;26;28;39;44;44;,18;18;19;20;29;44;,,
18;26;26;26;39;44;,17;18;18;28;28;29;44;46;8;,19;19;26;28;3;39;44;,18;19;20;29;29;44;,,
18;26;26;26;43;44;,18;18;18;19;28;28;29;29;8;,19;19;26;28;3;3;39;,18;19;20;29;44;8;,,
18;29;44;,18;18;18;19;28;28;29;3;8;,19;20;26;28;39;44;44;,18;18;26;26;31;37;39;44;44;,,
17;17;27;,18;18;18;19;28;28;29;44;8;,19;20;26;28;3;39;44;,18;18;19;26;28;31;37;44;,,
17;19;27;,18;18;18;25;28;28;29;29;8;,19;20;26;28;3;3;39;,18;18;18;28;3;,,
17;20;27;,18;18;18;25;28;28;29;3;8;,17;18;18;18;18;18;22;28;28;29;44;,18;18;18;28;44;,,
19;19;27;,18;18;18;25;28;28;29;44;8;,17;18;18;18;18;18;26;28;28;29;44;,18;18;18;28;4;,,
19;20;27;,18;18;18;28;28;29;29;44;8;,17;18;18;18;18;22;26;28;28;29;44;,18;18;22;28;3;,,
20;20;27;,18;18;18;28;28;29;29;46;8;,17;18;18;18;18;26;26;28;28;29;44;,18;18;22;28;44;,,
18;18;,18;18;18;28;28;29;3;44;8;,17;18;18;18;22;26;26;28;28;29;44;,18;18;22;28;4;,,
18;22;,18;18;18;28;28;29;3;46;8;,17;18;18;18;26;26;26;28;28;29;44;,18;18;26;28;3;,,
18;26;,18;18;18;28;28;29;44;44;8;,17;18;18;22;26;26;26;28;28;29;44;,18;18;26;28;44;,,
22;22;,18;18;18;28;28;29;44;46;8;,17;18;18;26;26;26;26;28;28;29;44;,18;18;26;28;4;,,
22;26;,18;18;19;19;28;28;29;29;8;,17;18;22;26;26;26;26;28;28;29;44;,18;22;26;28;3;,,
26;26;,18;18;19;19;28;28;29;3;8;,17;18;26;26;26;26;26;28;28;29;44;,18;22;26;28;44;,,
17;18;27;,18;18;19;19;28;28;29;44;8;,17;22;26;26;26;26;26;28;28;29;44;,18;22;26;28;4;,,
18;18;27;,18;18;19;25;28;28;29;29;8;,17;26;26;26;26;26;26;28;28;29;44;,18;26;26;28;3;,,
18;19;27;,18;18;19;25;28;28;29;3;8;,18;18;18;18;18;18;22;28;28;29;44;,18;26;26;28;44;,,
18;20;27;,18;18;19;25;28;28;29;44;8;,18;18;18;18;18;18;26;28;28;29;44;,18;26;26;28;4;,,
17;17;,18;18;19;26;28;28;29;29;8;,18;18;18;18;18;19;22;28;28;29;44;,1;18;18;18;28;,,
17;18;,18;18;19;26;28;28;29;3;8;,18;18;18;18;18;19;26;28;28;29;44;,1;18;18;22;28;,,
17;19;,18;18;19;26;28;28;29;44;8;,18;18;18;18;18;22;26;28;28;29;44;,1;18;18;26;28;,,
17;20;,18;18;19;28;28;29;29;44;8;,18;18;18;18;18;22;28;28;29;44;44;,1;18;22;26;28;,,
18;19;,18;18;19;28;28;29;29;46;8;,18;18;18;18;18;26;26;28;28;29;44;,1;18;26;26;28;,,
18;20;,18;18;19;28;28;29;3;44;8;,18;18;18;18;18;26;28;28;29;44;44;,1;22;26;26;28;,,
19;19;,18;18;19;28;28;29;3;46;8;,18;18;18;18;19;22;26;28;28;29;44;,1;26;26;26;28;,,
19;20;,18;18;19;28;28;29;44;44;8;,18;18;18;18;19;26;26;28;28;29;44;,22;26;26;28;3;,,
20;20;,18;18;19;28;28;29;44;46;8;,18;18;18;18;22;26;26;28;28;29;44;,22;26;26;28;44;,,
17;17;28;7;,18;18;25;25;28;28;29;29;8;,18;18;18;18;22;26;28;28;29;44;44;,22;26;26;28;4;,,
17;17;28;9;,18;18;25;25;28;28;29;3;8;,18;18;18;18;26;26;26;28;28;29;44;,26;26;26;28;3;,,
17;18;28;7;,18;18;25;25;28;28;29;44;8;,18;18;18;18;26;26;28;28;29;44;44;,26;26;26;28;44;,,
17;18;28;9;,18;18;25;26;28;28;29;29;8;,18;18;18;19;22;26;26;28;28;29;44;,26;26;26;28;4;,,
17;19;28;7;,18;18;25;26;28;28;29;3;8;,18;18;18;19;26;26;26;28;28;29;44;,17;17;18;27;28;3;44;,,
17;19;28;9;,18;18;25;26;28;28;29;44;8;,18;18;18;22;26;26;26;28;28;29;44;,17;17;18;27;28;44;44;,,
18;18;28;7;,18;18;25;28;28;29;29;44;8;,18;18;18;22;26;26;28;28;29;44;44;,17;17;18;27;28;4;44;,,
18;18;28;9;,18;18;25;28;28;29;29;46;8;,18;18;18;26;26;26;26;28;28;29;44;,17;17;18;28;29;3;44;,,
18;19;28;7;,18;18;25;28;28;29;3;44;8;,18;18;18;26;26;26;28;28;29;44;44;,17;17;18;28;29;44;44;,,
18;19;28;9;,18;18;25;28;28;29;3;46;8;,18;18;19;22;26;26;26;28;28;29;44;,17;17;18;28;29;4;44;,,
19;19;28;7;,18;18;25;28;28;29;44;44;8;,18;18;19;26;26;26;26;28;28;29;44;,17;17;26;27;28;3;44;,,
19;19;28;9;,18;18;25;28;28;29;44;46;8;,18;18;22;26;26;26;26;28;28;29;44;,17;17;26;27;28;44;44;,,
17;17;8;,18;18;26;28;28;29;29;44;8;,18;18;22;26;26;26;28;28;29;44;44;,17;17;26;27;28;4;44;,,
17;17;9;,18;18;26;28;28;29;29;46;8;,18;18;26;26;26;26;26;28;28;29;44;,17;17;26;28;29;3;44;,,
17;18;8;,18;18;26;28;28;29;3;44;8;,18;18;26;26;26;26;28;28;29;44;44;,17;17;26;28;29;44;44;,,
17;18;9;,18;18;26;28;28;29;3;46;8;,18;19;22;26;26;26;26;28;28;29;44;,17;17;26;28;29;4;44;,,
17;19;8;,18;18;26;28;28;29;44;44;8;,18;19;26;26;26;26;26;28;28;29;44;,17;18;19;27;28;3;44;,,
17;19;9;,18;18;26;28;28;29;44;46;8;,18;22;26;26;26;26;26;28;28;29;44;,17;18;19;27;28;44;44;,,
18;18;8;,1;25;3;3;3;,18;22;26;26;26;26;28;28;29;44;44;,17;18;19;27;28;4;44;,,
18;18;9;,25;3;3;3;3;,18;26;26;26;26;26;26;28;28;29;44;,17;18;19;28;29;3;44;,,
18;19;8;,25;3;3;3;5;,18;26;26;26;26;26;28;28;29;44;44;,17;18;19;28;29;44;44;,,
18;19;9;,1;3;3;3;,19;22;26;26;26;26;26;28;28;29;44;,17;18;19;28;29;4;44;,,
19;19;8;,3;3;3;3;,19;26;26;26;26;26;26;28;28;29;44;,17;18;20;27;28;3;44;,,
19;19;9;,3;3;3;5;,22;26;26;26;26;26;26;28;28;29;44;,17;18;20;27;28;44;44;,,
28;33;5;,,22;26;26;26;26;26;28;28;29;44;44;,17;18;20;27;28;4;44;,,
28;38;5;,,26;26;26;26;26;26;26;28;28;29;44;,17;18;20;28;29;3;44;,,
28;3;33;,,26;26;26;26;26;26;28;28;29;44;44;,17;18;20;28;29;44;44;,,
28;3;38;,,17;18;18;18;18;18;18;28;28;,17;18;20;28;29;4;44;,,
34;5;,,17;18;18;18;18;18;26;28;28;,17;19;26;27;28;3;44;,,
37;5;,,17;18;18;18;18;26;26;28;28;,17;19;26;27;28;44;44;,,
3;34;,,17;18;18;18;26;26;26;28;28;,17;19;26;27;28;4;44;,,
3;37;,,17;18;18;26;26;26;26;28;28;,17;19;26;28;29;3;44;,,
16;,,17;18;26;26;26;26;26;28;28;,17;19;26;28;29;44;44;,,
22;,,17;26;26;26;26;26;26;28;28;,17;19;26;28;29;4;44;,,
26;,,18;18;18;18;18;18;18;28;28;,17;20;26;27;28;3;44;,,
29;,,18;18;18;18;18;18;19;28;28;,17;20;26;27;28;44;44;,,
60;,,18;18;18;18;18;18;26;28;28;,17;20;26;27;28;4;44;,,
62;,,18;18;18;18;18;18;28;28;44;,17;20;26;28;29;3;44;,,
66;,,18;18;18;18;18;19;26;28;28;,17;20;26;28;29;44;44;,,
70;,,18;18;18;18;18;26;26;28;28;,17;20;26;28;29;4;44;,,
77;,,18;18;18;18;18;26;28;28;44;,18;19;19;27;28;3;44;,,
15;18;,,18;18;18;18;19;26;26;28;28;,18;19;19;27;28;44;44;,,
18;27;,,18;18;18;18;26;26;26;28;28;,18;19;19;27;28;4;44;,,
18;32;,,18;18;18;18;26;26;28;28;44;,18;19;19;28;29;3;44;,,
18;39;,,18;18;18;19;26;26;26;28;28;,18;19;19;28;29;44;44;,,
18;42;,,18;18;18;26;26;26;26;28;28;,18;19;19;28;29;4;44;,,
18;43;,,18;18;18;26;26;26;28;28;44;,18;19;20;27;28;3;44;,,
18;7;,,18;18;19;26;26;26;26;28;28;,18;19;20;27;28;44;44;,,
18;29;29;44;44;5;,,18;18;26;26;26;26;26;28;28;,18;19;20;27;28;4;44;,,
1;18;29;29;44;44;,,18;18;26;26;26;26;28;28;44;,18;19;20;28;29;3;44;,,
1;25;29;29;44;44;,,18;19;26;26;26;26;26;28;28;,18;19;20;28;29;44;44;,,
25;29;29;44;44;5;,,18;26;26;26;26;26;26;28;28;,18;19;20;28;29;4;44;,,
18;28;32;,,18;26;26;26;26;26;28;28;44;,19;19;26;27;28;3;44;,,
18;28;38;,,19;26;26;26;26;26;26;28;28;,19;19;26;27;28;44;44;,,
18;28;7;,,26;26;26;26;26;26;26;28;28;,19;19;26;27;28;4;44;,,
25;28;32;,,26;26;26;26;26;26;28;28;44;,19;19;26;28;29;3;44;,,
25;28;38;,,18;18;19;22;28;29;29;44;,19;19;26;28;29;44;44;,,
25;28;7;,,18;18;19;26;28;29;29;44;,19;19;26;28;29;4;44;,,
1;18;28;,,18;18;18;19;28;29;,19;20;26;27;28;3;44;,,
1;21;28;,,18;18;19;26;28;29;,19;20;26;27;28;44;44;,,
1;22;28;,,18;26;28;28;29;3;3;3;3;44;,19;20;26;27;28;4;44;,,
1;26;28;,,18;18;28;28;3;3;3;3;,19;20;26;28;29;3;44;,,
1;28;41;,,29;3;3;42;44;,19;20;26;28;29;44;44;,,
10;18;,,29;3;3;43;44;,19;20;26;28;29;4;44;,,
10;21;,,29;3;3;44;68;,1;17;17;18;27;28;44;,,
10;22;,,3;3;42;,1;17;17;18;28;29;44;,,
10;26;,,3;3;43;,1;17;17;26;27;28;44;,,
10;41;,,3;3;67;,1;17;17;26;28;29;44;,,
17;29;3;3;3;44;,,17;29;3;44;66;,1;17;18;19;27;28;44;,,
20;29;3;3;3;44;,,17;29;3;44;69;,1;17;18;19;28;29;44;,,
20;29;3;3;44;44;,,17;29;3;44;74;,1;17;18;20;27;28;44;,,
17;3;3;3;44;,,17;29;3;44;77;,1;17;18;20;28;29;44;,,
17;3;3;44;44;,,17;29;44;44;66;,1;17;19;26;27;28;44;,,
19;3;3;3;44;,,17;29;44;44;69;,1;17;19;26;28;29;44;,,
19;3;3;44;44;,,17;29;44;44;74;,1;17;20;26;27;28;44;,,
17;17;17;18;27;28;,,17;29;44;44;77;,1;17;20;26;28;29;44;,,
17;17;18;18;27;28;,,17;29;44;46;66;,1;18;19;19;27;28;44;,,
17;17;18;19;27;28;,,17;29;44;46;69;,1;18;19;19;28;29;44;,,
17;18;18;18;27;28;,,17;29;44;46;74;,1;18;19;20;27;28;44;,,
17;18;18;19;27;28;,,17;29;44;46;77;,1;18;19;20;28;29;44;,,
17;18;19;19;27;28;,,17;29;44;5;66;,1;19;19;26;27;28;44;,,
18;18;18;19;27;28;,,17;29;44;5;69;,1;19;19;26;28;29;44;,,
18;18;19;19;27;28;,,17;29;44;5;74;,1;19;20;26;27;28;44;,,
18;19;19;19;27;28;,,17;29;44;5;77;,1;19;20;26;28;29;44;,,
17;17;17;18;28;,,18;29;3;44;66;,18;3;3;3;31;37;,,
17;17;18;18;28;,,18;29;3;44;69;,26;3;3;3;31;37;,,
17;17;18;19;28;,,18;29;3;44;74;,18;28;3;3;3;31;39;44;44;,,
17;18;18;18;28;,,18;29;3;44;77;,26;28;3;3;3;31;39;44;44;,,
17;18;18;19;28;,,18;29;44;44;66;,26;26;26;27;,,
17;18;19;19;28;,,18;29;44;44;69;,17;19;26;27;29;44;,,
18;18;18;19;28;,,18;29;44;44;74;,18;22;,,
18;18;19;19;28;,,18;29;44;44;77;,18;26;,,
18;19;19;19;28;,,18;29;44;46;66;,22;22;,,
18;18;18;18;20;26;28;29;29;37;37;44;44;,,18;29;44;46;69;,22;26;,,
19;19;44;44;,,18;29;44;46;74;,26;26;,,
18;18;27;28;28;29;3;3;39;44;44;5;,,18;29;44;46;77;,17;17;29;44;,,
18;18;28;28;31;,,18;29;44;5;66;,17;19;29;44;,,
18;19;25;26;29;44;44;,,18;29;44;5;69;,17;25;29;44;,,
18;19;22;25;44;44;,,18;29;44;5;74;,19;19;29;44;,,
18;25;28;44;5;5;,,18;29;44;5;77;,19;25;29;44;,,
18;28;44;44;5;5;,,19;29;3;44;66;,18;19;19;25;28;29;44;44;44;,,
25;3;44;5;5;,,19;29;3;44;69;,18;19;19;25;28;44;44;44;44;,,
3;44;44;5;5;,,19;29;3;44;74;,18;19;19;28;29;44;44;44;44;,,
11;11;17;17;17;17;17;17;17;17;18;18;18;19;19;27;29;29;31;31;31;44;44;,,19;29;3;44;77;,18;19;19;28;44;44;44;44;44;,,
17;17;17;19;27;29;44;,,19;29;44;44;66;,18;19;25;25;28;29;44;44;44;,,
17;18;29;3;44;44;,,19;29;44;44;69;,18;19;25;25;28;44;44;44;44;,,
17;29;3;44;44;5;,,19;29;44;44;74;,18;19;25;28;29;44;44;44;44;,,
18;19;29;3;44;44;,,19;29;44;44;77;,18;19;25;28;44;44;44;44;44;,,
19;29;3;44;44;5;,,19;29;44;46;66;,19;19;25;26;28;29;44;44;44;,,
18;19;3;44;44;,,19;29;44;46;69;,19;19;25;26;28;44;44;44;44;,,
18;25;3;44;44;,,19;29;44;46;74;,19;19;26;28;29;44;44;44;44;,,
19;3;44;44;44;,,19;29;44;46;77;,19;19;26;28;44;44;44;44;44;,,
19;3;44;44;5;,,19;29;44;5;66;,19;25;25;26;28;29;44;44;44;,,
25;3;44;44;44;,,19;29;44;5;69;,19;25;25;26;28;44;44;44;44;,,
25;3;44;44;5;,,19;29;44;5;74;,19;25;26;28;29;44;44;44;44;,,
18;28;29;3;,,19;29;44;5;77;,19;25;26;28;44;44;44;44;44;,,
18;28;29;44;,,17;3;42;,17;17;19;25;29;29;29;44;44;44;44;,,
18;28;29;46;,,17;3;43;,17;17;19;25;29;29;44;44;44;44;44;,,
26;28;29;3;,,17;3;67;,17;17;19;29;29;29;44;44;44;44;44;,,
26;28;29;44;,,17;3;73;,17;17;19;29;29;44;44;44;44;44;44;,,
26;28;29;46;,,17;42;44;,17;17;25;25;29;29;29;44;44;44;44;,,
28;3;,,17;42;46;,17;17;25;25;29;29;44;44;44;44;44;,,
29;3;44;44;,,17;42;5;,17;17;25;29;29;29;44;44;44;44;44;,,
18;27;28;3;,,17;43;44;,17;17;25;29;29;44;44;44;44;44;44;,,
18;27;28;44;,,17;43;46;,17;19;19;25;29;29;29;44;44;44;44;,,
18;19;28;44;8;,,17;43;5;,17;19;19;25;29;29;44;44;44;44;44;,,
18;25;28;44;8;,,17;44;67;,17;19;19;29;29;29;44;44;44;44;44;,,
17;18;26;28;28;29;44;44;,,17;44;73;,17;19;19;29;29;44;44;44;44;44;44;,,
18;19;26;28;28;29;44;44;,,17;46;67;,17;19;25;25;29;29;29;44;44;44;44;,,
18;25;28;8;,,17;46;73;,17;19;25;25;29;29;44;44;44;44;44;,,
18;18;25;28;28;29;44;,,17;5;67;,17;19;25;29;29;29;44;44;44;44;44;,,
18;28;8;,,17;5;73;,17;19;25;29;29;44;44;44;44;44;44;,,
26;28;44;,,18;3;42;,44;52;,,
11;17;22;28;44;44;,,18;3;43;,44;78;,,
11;17;26;28;44;44;,,18;3;67;,18;28;29;29;44;,,
11;18;22;28;44;44;,,18;3;73;,18;28;29;41;44;,,
11;18;26;28;44;44;,,18;42;44;,28;3;3;3;,,
11;19;22;28;44;44;,,18;42;46;,28;3;3;5;,,
11;19;26;28;44;44;,,18;42;5;,29;29;29;3;3;44;,,
11;22;25;28;44;44;,,18;43;44;,29;29;3;3;3;44;,,
11;22;26;28;44;44;,,18;43;46;,29;29;3;3;44;5;,,
11;22;28;44;44;44;,,18;43;5;,29;3;3;3;3;44;,,
11;25;26;28;44;44;,,18;44;67;,29;3;3;3;44;5;,,
11;26;26;28;44;44;,,18;44;73;,29;3;3;44;5;5;,,
11;26;28;44;44;44;,,18;46;67;,28;3;,,
17;18;28;8;,,18;46;73;,3;3;,,
17;26;28;8;,,18;5;67;,3;5;,,
18;18;28;8;,,18;5;73;,29;29;29;3;,,
18;19;28;8;,,19;3;42;,29;29;3;3;,,
18;26;28;8;,,19;3;43;,29;29;3;44;,,
18;28;44;8;,,19;3;67;,29;29;3;5;,,
19;26;28;8;,,19;3;73;,29;3;3;44;,,
25;26;28;8;,,19;42;44;,29;3;44;5;,,
26;26;28;8;,,19;42;46;,15;16;19;,,
26;28;44;8;,,19;42;5;,15;16;26;,,
18;18;29;29;44;44;,,19;43;44;,15;16;39;,,
18;18;18;18;28;28;29;29;44;44;,,19;43;46;,15;16;46;,,
18;28;29;29;29;44;44;,,19;43;5;,15;19;30;,,
11;18;26;28;3;3;3;3;32;44;44;8;8;,,19;44;67;,15;26;30;,,
17;18;29;3;3;3;3;32;44;44;8;8;8;,,19;44;73;,15;30;39;,,
18;29;,,19;46;67;,15;30;46;,,
21;28;28;,,19;46;73;,18;19;25;28;44;44;,,
18;18;18;18;,,19;5;67;,18;19;28;39;44;44;,,
18;18;18;22;,,19;5;73;,18;25;26;28;44;44;,,
18;18;18;26;,,22;28;42;43;,18;25;28;39;44;44;,,
18;18;18;28;,,19;42;43;,18;25;28;44;44;46;,,
18;18;18;32;,,17;17;18;18;18;27;28;29;29;44;,18;26;28;39;44;44;,,
18;18;18;36;,,17;18;18;18;26;27;28;28;,18;28;39;39;44;44;,,
18;18;18;37;,,,18;28;39;44;44;46;,,
18;18;22;22;,,,18;3;3;3;,,
18;18;22;26;,,,22;3;3;3;,,
18;18;22;28;,,,26;3;3;3;,,
18;18;22;32;,,,3;3;3;55;,,
18;18;22;36;,,,17;29;3;3;3;44;44;,,
18;18;22;37;,,,19;29;3;3;3;44;44;,,
18;18;26;26;,,,20;29;3;3;3;44;44;,,
18;18;26;28;,,,25;29;3;3;3;44;44;,,
18;18;26;32;,,,17;18;25;28;44;,,
18;18;26;36;,,,17;17;19;29;29;44;44;,,
18;18;26;37;,,,11;17;17;18;18;26;28;29;31;39;44;,,
18;18;28;32;,,,11;17;18;18;19;26;28;29;31;39;44;,,
18;18;28;37;,,,11;17;18;18;20;26;28;29;31;39;44;,,
18;18;32;32;,,,17;17;18;18;26;28;29;29;31;39;44;,,
18;18;32;36;,,,17;17;18;18;26;28;29;31;39;44;52;,,
18;18;32;37;,,,17;17;18;18;26;28;29;31;39;44;72;,,
18;18;36;37;,,,17;18;18;19;26;28;29;29;31;39;44;,,
18;18;37;37;,,,17;18;18;19;26;28;29;31;39;44;52;,,
18;22;22;26;,,,17;18;18;19;26;28;29;31;39;44;72;,,
18;22;22;32;,,,17;18;18;20;26;28;29;29;31;39;44;,,
18;22;22;37;,,,17;18;18;20;26;28;29;31;39;44;52;,,
18;22;26;26;,,,17;18;18;20;26;28;29;31;39;44;72;,,
18;22;26;28;,,,11;17;17;18;28;29;39;,,
18;22;26;32;,,,11;17;18;19;28;29;39;,,
18;22;26;36;,,,11;17;18;20;28;29;39;,,
18;22;26;37;,,,17;17;18;27;28;29;39;,,
18;22;28;32;,,,17;17;18;28;29;29;39;,,
18;22;28;37;,,,17;17;18;28;29;39;8;,,
18;22;32;32;,,,17;18;19;27;28;29;39;,,
18;22;32;36;,,,17;18;19;28;29;29;39;,,
18;22;32;37;,,,17;18;19;28;29;39;8;,,
18;22;36;37;,,,17;18;20;27;28;29;39;,,
18;22;37;37;,,,17;18;20;28;29;29;39;,,
18;26;26;26;,,,17;18;20;28;29;39;8;,,
18;26;26;28;,,,17;17;29;3;3;3;3;44;44;,,
18;26;26;32;,,,17;17;29;3;3;3;44;44;44;,,
18;26;26;36;,,,17;17;29;3;3;44;44;44;44;,,
18;26;26;37;,,,17;17;29;3;44;44;44;44;44;,,
18;26;28;32;,,,17;17;29;44;44;44;44;44;44;,,
18;26;28;37;,,,17;19;29;3;3;3;3;44;44;,,
18;26;32;32;,,,17;19;29;3;3;3;44;44;44;,,
18;26;32;36;,,,17;19;29;3;3;44;44;44;44;,,
18;26;32;37;,,,17;19;29;3;44;44;44;44;44;,,
18;26;36;37;,,,17;19;29;44;44;44;44;44;44;,,
18;26;37;37;,,,17;20;29;3;3;3;3;44;44;,,
22;22;26;26;,,,17;20;29;3;3;3;44;44;44;,,
22;22;26;32;,,,17;20;29;3;3;44;44;44;44;,,
22;22;26;37;,,,17;20;29;3;44;44;44;44;44;,,
22;26;26;26;,,,17;20;29;44;44;44;44;44;44;,,
22;26;26;28;,,,17;25;29;3;3;3;3;44;44;,,
22;26;26;32;,,,17;25;29;3;3;3;44;44;44;,,
22;26;26;36;,,,17;25;29;3;3;44;44;44;44;,,
22;26;26;37;,,,17;25;29;3;44;44;44;44;44;,,
22;26;28;32;,,,17;25;29;44;44;44;44;44;44;,,
22;26;28;37;,,,19;19;29;3;3;3;3;44;44;,,
22;26;32;32;,,,19;19;29;3;3;3;44;44;44;,,
22;26;32;36;,,,19;19;29;3;3;44;44;44;44;,,
22;26;32;37;,,,19;19;29;3;44;44;44;44;44;,,
22;26;36;37;,,,19;19;29;44;44;44;44;44;44;,,
22;26;37;37;,,,19;20;29;3;3;3;3;44;44;,,
26;26;26;26;,,,19;20;29;3;3;3;44;44;44;,,
26;26;26;28;,,,19;20;29;3;3;44;44;44;44;,,
26;26;26;32;,,,19;20;29;3;44;44;44;44;44;,,
26;26;26;36;,,,19;20;29;44;44;44;44;44;44;,,
26;26;26;37;,,,19;25;29;3;3;3;3;44;44;,,
26;26;28;32;,,,19;25;29;3;3;3;44;44;44;,,
26;26;28;37;,,,19;25;29;3;3;44;44;44;44;,,
26;26;32;32;,,,19;25;29;3;44;44;44;44;44;,,
26;26;32;36;,,,19;25;29;44;44;44;44;44;44;,,
26;26;32;37;,,,20;25;29;3;3;3;3;44;44;,,
26;26;36;37;,,,20;25;29;3;3;3;44;44;44;,,
26;26;37;37;,,,20;25;29;3;3;44;44;44;44;,,
17;17;18;18;44;44;,,,20;25;29;3;44;44;44;44;44;,,
17;17;18;22;44;44;,,,20;25;29;44;44;44;44;44;44;,,
17;17;18;26;44;44;,,,18;18;3;3;3;3;,,
17;17;18;28;44;44;,,,18;18;3;3;3;44;,,
17;17;18;32;44;44;,,,18;18;3;3;44;44;,,
17;17;18;36;44;44;,,,18;18;3;44;44;44;,,
17;17;18;37;44;44;,,,18;18;44;44;44;44;,,
17;17;22;26;44;44;,,,18;22;3;3;3;3;,,
17;17;22;32;44;44;,,,18;22;3;3;3;44;,,
17;17;22;37;44;44;,,,18;22;3;3;44;44;,,
17;17;26;26;44;44;,,,18;22;3;44;44;44;,,
17;17;26;28;44;44;,,,18;22;44;44;44;44;,,
17;17;26;32;44;44;,,,18;26;3;3;3;3;,,
17;17;26;36;44;44;,,,18;26;3;3;3;44;,,
17;17;26;37;44;44;,,,18;26;3;3;44;44;,,
17;17;28;32;44;44;,,,18;26;3;44;44;44;,,
17;17;28;37;44;44;,,,18;26;44;44;44;44;,,
