EC1,EC2,EC3,EC4,EC5,EC6
19;29;44;44;46;46;,18;19;26;28;28;3;44;8;8;,19;20;27;27;3;,25;39;44;44;44;,18;19;25;26;44;,18;18;18;18;19;28;8;
19;29;44;44;46;58;,18;19;26;28;28;44;44;44;8;,20;20;27;27;3;,25;39;44;44;5;,18;19;26;44;44;,18;18;18;18;20;28;3;
19;29;44;44;58;58;,18;19;26;28;28;44;44;8;8;,17;26;29;3;3;44;5;,25;39;44;5;5;,18;20;22;25;44;,18;18;18;18;20;28;44;
19;29;4;44;44;44;,18;25;26;28;28;3;44;44;8;,17;27;29;3;3;44;5;,25;3;39;44;44;,18;20;25;26;44;,18;18;18;18;20;28;8;
19;29;4;44;44;46;,18;25;26;28;28;3;44;8;8;,26;29;3;3;44;44;5;,25;3;39;44;5;,18;22;25;25;44;,18;18;18;19;26;28;3;
19;29;4;44;44;58;,18;25;26;28;28;44;44;44;8;,27;29;3;3;44;44;5;,25;3;3;39;44;,18;22;25;44;44;,18;18;18;19;26;28;44;
19;29;4;4;44;44;,18;25;26;28;28;44;44;8;8;,17;26;3;3;5;,25;3;3;40;44;,18;25;25;26;44;,18;18;18;19;26;28;8;
1;17;29;3;44;44;,19;26;26;28;28;3;44;44;8;,17;27;3;3;5;,25;3;40;44;44;,18;25;26;44;44;,18;18;18;20;26;28;3;
1;17;29;44;44;44;,19;26;26;28;28;3;44;8;8;,26;3;3;44;5;,25;3;40;44;5;,19;19;22;26;44;,18;18;18;20;26;28;44;
1;17;29;44;44;46;,19;26;26;28;28;44;44;44;8;,27;3;3;44;5;,25;40;44;44;44;,19;20;22;26;44;,18;18;18;20;26;28;8;
1;17;29;44;44;58;,19;26;26;28;28;44;44;8;8;,1;29;3;44;,25;40;44;44;5;,19;22;25;26;44;,18;18;19;26;26;28;3;
1;17;29;4;44;44;,25;26;26;28;28;3;44;44;8;,29;3;44;47;,25;40;44;5;5;,19;22;26;44;44;,18;18;19;26;26;28;44;
1;19;29;3;44;44;,25;26;26;28;28;3;44;8;8;,29;3;44;60;,17;18;28;29;39;44;44;44;,20;22;25;26;44;,18;18;19;26;26;28;8;
1;19;29;44;44;44;,25;26;26;28;28;44;44;44;8;,1;3;,17;18;28;29;39;44;44;5;,22;25;25;26;44;,18;18;20;26;26;28;3;
1;19;29;44;44;46;,25;26;26;28;28;44;44;8;8;,3;32;,17;18;28;29;39;44;5;5;,22;25;26;44;44;,18;18;20;26;26;28;44;
